Species,Abundance,Site ID,SampleDate,Group,Flag_Duplicated
Stephanopyxis spp.,P,SVB,6/24/2010,Diatom,
Coscinodiscus spp.,P,HMH,12/20/2010,Diatom,
Ditylum spp.,P,HMH,12/20/2010,Diatom,
Pseudo-nitzschia spp.,P,HMH,12/20/2010,Diatom,
Alexandrium spp.,P,SVB,12/21/2010,Dinoflagellate,
Navicula morphotype,P,SVB,12/21/2010,Diatom,
Odontella spp.,P,SVB,12/21/2010,Diatom,
Pleurosigma morphotype,P,SVB,12/21/2010,Diatom,
Pseudo-nitzschia spp.,P,SVB,12/21/2010,Diatom,
Rhizosolenia spp.,P,SVB,12/21/2010,Diatom,
Stephanopyxis spp.,P,SVB,12/21/2010,Diatom,
Thalassionema spp.,P,SVB,12/21/2010,Diatom,
Ditylum spp.,P,HMH,1/25/2011,Diatom,
Odontella spp.,P,HMH,1/25/2011,Diatom,
Pleurosigma morphotype,P,HMH,1/25/2011,Diatom,
Coscinodiscus spp.,P,SVB,1/27/2011,Diatom,
Ditylum spp.,P,SVB,1/27/2011,Diatom,
Odontella spp.,P,SVB,1/27/2011,Diatom,
Pleurosigma morphotype,P,SVB,1/27/2011,Diatom,
Chaetoceros spp.,P,SVB,6/14/2011,Diatom,
Coscinodiscus spp.,P,SVB,6/14/2011,Diatom,
Fragilariopsis spp.,P,SVB,6/14/2011,Diatom,
Guinardia spp.,P,SVB,6/14/2011,Diatom,
Leptocylindrus spp.,P,SVB,6/14/2011,Diatom,
Licmophora spp.,P,SVB,6/14/2011,Diatom,
Melosira spp.,P,SVB,6/14/2011,Diatom,
Navicula morphotype,P,SVB,6/14/2011,Diatom,
Nitzschia morphotype,P,SVB,6/14/2011,Diatom,
Pleurosigma morphotype,P,SVB,6/14/2011,Diatom,
Pseudo-nitzschia spp.,P,SVB,6/14/2011,Diatom,
Rhizosolenia spp.,P,SVB,6/14/2011,Diatom,
Skeletonema spp.,P,SVB,6/14/2011,Diatom,
Stephanopyxis spp.,P,SVB,6/14/2011,Diatom,
Chaetoceros spp.,A,HMH,6/16/2011,Diatom,
Coscinodiscus spp.,P,HMH,6/16/2011,Diatom,
Dinophysis spp.,P,HMH,6/16/2011,Dinoflagellate,
Ditylum spp.,P,HMH,6/16/2011,Diatom,
Entomoneis spp.,P,HMH,6/16/2011,Diatom,
Navicula morphotype,P,HMH,6/16/2011,Diatom,
Nitzschia morphotype,P,HMH,6/16/2011,Diatom,
Pseudo-nitzschia spp.,P,HMH,6/16/2011,Diatom,
Chaetoceros spp.,B,SVB,6/28/2011,Diatom,
Coscinodiscus spp.,P,SVB,6/28/2011,Diatom,
Dinophysis spp.,P,SVB,6/28/2011,Dinoflagellate,
Ditylum spp.,P,SVB,6/28/2011,Diatom,
Leptocylindrus spp.,P,SVB,6/28/2011,Diatom,
Licmophora spp.,P,SVB,6/28/2011,Diatom,
Melosira spp.,P,SVB,6/28/2011,Diatom,
Pleurosigma morphotype,P,SVB,6/28/2011,Diatom,
Protoperidinium spp.,P,SVB,6/28/2011,Dinoflagellate,
Pseudo-nitzschia spp.,A,SVB,6/28/2011,Diatom,
Skeletonema spp.,P,SVB,6/28/2011,Diatom,
Stephanopyxis spp.,P,SVB,6/28/2011,Diatom,
Thalassionema spp.,P,SVB,6/28/2011,Diatom,
Thalassiosira spp.,P,SVB,6/28/2011,Diatom,
Chaetoceros spp.,B,HMH,7/8/2011,Diatom,
Coscinodiscus spp.,P,HMH,7/8/2011,Diatom,
Dinophysis spp.,P,HMH,7/8/2011,Dinoflagellate,
Ditylum spp.,P,HMH,7/8/2011,Diatom,
Leptocylindrus spp.,A,HMH,7/8/2011,Diatom,
Nitzschia morphotype,P,HMH,7/8/2011,Diatom,
Pleurosigma morphotype,P,HMH,7/8/2011,Diatom,
Protoperidinium spp.,P,HMH,7/8/2011,Dinoflagellate,
Pseudo-nitzschia spp.,A,HMH,7/8/2011,Diatom,
Rhizosolenia spp.,P,HMH,7/8/2011,Diatom,
Chaetoceros spp.,B,HMH,7/14/2011,Diatom,
Coscinodiscus spp.,P,HMH,7/14/2011,Diatom,
Dinophysis spp.,P,HMH,7/14/2011,Dinoflagellate,
Ditylum spp.,P,HMH,7/14/2011,Diatom,
Leptocylindrus spp.,B,HMH,7/14/2011,Diatom,
Licmophora spp.,P,HMH,7/14/2011,Diatom,
Navicula morphotype,P,HMH,7/14/2011,Diatom,
Protoperidinium spp.,P,HMH,7/14/2011,Dinoflagellate,
Pseudo-nitzschia spp.,P,HMH,7/14/2011,Diatom,
Rhizosolenia spp.,P,HMH,7/14/2011,Diatom,
Chaetoceros spp.,B,SVB,7/19/2011,Diatom,
Coscinodiscus spp.,P,SVB,7/19/2011,Diatom,
Licmophora spp.,P,SVB,7/19/2011,Diatom,
Melosira spp.,P,SVB,7/19/2011,Diatom,
Navicula morphotype,P,SVB,7/19/2011,Diatom,
Thalassiosira spp.,P,SVB,7/19/2011,Diatom,
Leptocylindrus spp.,B,HMH,7/20/2011,Diatom,
Protoperidinium spp.,P,HMH,7/20/2011,Dinoflagellate,
Pseudo-nitzschia spp.,P,HMH,7/20/2011,Diatom,
Rhizosolenia spp.,P,HMH,7/20/2011,Diatom,
Chaetoceros spp.,B,SVB,8/4/2011,Diatom,
Coscinodiscus spp.,P,SVB,8/4/2011,Diatom,
Dictyocha spp. (Chromophyte),P,SVB,8/4/2011,Silicoflagellate,
Fragilariopsis spp.,P,SVB,8/4/2011,Diatom,
Leptocylindrus spp.,P,SVB,8/4/2011,Diatom,
Navicula morphotype,P,SVB,8/4/2011,Diatom,
Pleurosigma morphotype,P,SVB,8/4/2011,Diatom,
Protoperidinium spp.,P,SVB,8/4/2011,Dinoflagellate,
Ceratium furca morphotype,P,SVB,9/6/2011,Dinoflagellate,
Chaetoceros spp.,A,SVB,9/6/2011,Diatom,
Coscinodiscus spp.,P,SVB,9/6/2011,Diatom,
Dinophysis spp.,P,SVB,9/6/2011,Dinoflagellate,
Ditylum spp.,P,SVB,9/6/2011,Diatom,
Leptocylindrus spp.,P,SVB,9/6/2011,Diatom,
Protoperidinium spp.,P,SVB,9/6/2011,Dinoflagellate,
Pseudo-nitzschia spp.,P,SVB,9/6/2011,Diatom,
Rhizosolenia spp.,A,SVB,9/6/2011,Diatom,
Thalassionema spp.,P,SVB,9/6/2011,Diatom,
Thalassiosira spp.,A,SVB,9/6/2011,Diatom,
Ceratium furca morphotype,P,SVB,9/7/2011,Dinoflagellate,
Chaetoceros spp.,B,SVB,9/7/2011,Diatom,
Dictyocha spp. (Chromophyte),P,SVB,9/7/2011,Silicoflagellate,
Heterocapsa spp.,P,SVB,9/7/2011,Dinoflagellate,
Leptocylindrus spp.,A,SVB,9/7/2011,Diatom,
Navicula morphotype,P,SVB,9/7/2011,Diatom,
Nitzschia morphotype,P,SVB,9/7/2011,Diatom,
Pleurosigma morphotype,P,SVB,9/7/2011,Diatom,
Pseudo-nitzschia spp.,A,SVB,9/7/2011,Diatom,
Rhizosolenia spp.,A,SVB,9/7/2011,Diatom,
Skeletonema spp.,B,SVB,9/7/2011,Diatom,
Thalassionema spp.,P,SVB,9/7/2011,Diatom,
Thalassiosira spp.,A,SVB,9/7/2011,Diatom,
Chaetoceros spp.,P,HMH,4/5/2012,Diatom,
Chaetoceros spp.,P,SVB,4/23/2012,Diatom,
Coscinodiscus spp.,P,SVB,4/23/2012,Diatom,
Entomoneis spp.,P,SVB,4/23/2012,Diatom,
Licmophora spp.,P,SVB,4/23/2012,Diatom,
Melosira spp.,P,SVB,4/23/2012,Diatom,
Navicula morphotype,P,SVB,4/23/2012,Diatom,
Nitzschia morphotype,P,SVB,4/23/2012,Diatom,
Pleurosigma morphotype,P,SVB,4/23/2012,Diatom,
Pseudo-nitzschia spp.,P,SVB,4/23/2012,Diatom,
Skeletonema spp.,P,SVB,4/23/2012,Diatom,
Thalassiosira spp.,A,SVB,4/23/2012,Diatom,
Chaetoceros spp.,A,HMH,5/1/2012,Diatom,
Thalassiosira spp.,P,HMH,5/1/2012,Diatom,
Chaetoceros spp.,P,HMH,6/11/2012,Diatom,
Protoperidinium spp.,P,HMH,6/11/2012,Dinoflagellate,
Rhizosolenia spp.,P,HMH,6/11/2012,Diatom,
Thalassiosira spp.,P,HMH,6/11/2012,Diatom,
Chaetoceros spp.,P,SVB,6/12/2012,Diatom,
Melosira spp.,P,SVB,6/12/2012,Diatom,
Navicula morphotype,P,SVB,6/12/2012,Diatom,
Thalassiosira spp.,P,SVB,6/12/2012,Diatom,
Ceratium furca morphotype,P,HMH,10/5/2012,Dinoflagellate,
Ceratium fusus morphotype,P,HMH,10/5/2012,Dinoflagellate,
Ceratium longipes morphotype,P,HMH,10/5/2012,Dinoflagellate,
Chaetoceros spp.,P,HMH,10/5/2012,Diatom,
Coscinodiscus spp.,P,HMH,10/5/2012,Diatom,
Dinophysis spp.,P,HMH,10/5/2012,Dinoflagellate,
Ditylum spp.,P,HMH,10/5/2012,Diatom,
Entomoneis spp.,P,HMH,10/5/2012,Diatom,
Fragilariopsis spp.,P,HMH,10/5/2012,Diatom,
Leptocylindrus spp.,P,HMH,10/5/2012,Diatom,
Melosira spp.,P,HMH,10/5/2012,Diatom,
Navicula morphotype,P,HMH,10/5/2012,Diatom,
Nitzschia morphotype,P,HMH,10/5/2012,Diatom,
Pleurosigma morphotype,P,HMH,10/5/2012,Diatom,
Protoperidinium spp.,P,HMH,10/5/2012,Dinoflagellate,
Pseudo-nitzschia spp.,P,HMH,10/5/2012,Diatom,
Rhizosolenia spp.,P,HMH,10/5/2012,Diatom,
Skeletonema spp.,P,HMH,10/5/2012,Diatom,
Stephanopyxis spp.,P,HMH,10/5/2012,Diatom,
Thalassionema spp.,P,HMH,10/5/2012,Diatom,
Thalassiosira spp.,P,HMH,10/5/2012,Diatom,
Ceratium furca morphotype,P,HMH,12/5/2012,Dinoflagellate,
Alexandrium spp.,P,SVB,4/2/2013,Dinoflagellate,
Chaetoceros spp.,P,SVB,4/2/2013,Diatom,
Coscinodiscus spp.,P,SVB,4/2/2013,Diatom,
Dinophysis spp.,P,SVB,4/2/2013,Dinoflagellate,
Fragilariopsis spp.,P,SVB,4/2/2013,Diatom,
Leptocylindrus spp.,P,SVB,4/2/2013,Diatom,
Licmophora spp.,P,SVB,4/2/2013,Diatom,
Nitzschia morphotype,P,SVB,4/2/2013,Diatom,
Odontella spp.,P,SVB,4/2/2013,Diatom,
Pleurosigma morphotype,P,SVB,4/2/2013,Diatom,
Skeletonema spp.,P,SVB,4/2/2013,Diatom,
Stephanopyxis spp.,P,SVB,4/2/2013,Diatom,
Thalassionema spp.,P,SVB,4/2/2013,Diatom,
Thalassiosira spp.,P,SVB,4/2/2013,Diatom,
Chaetoceros spp.,P,HMH,4/4/2013,Diatom,
Leptocylindrus spp.,P,HMH,4/4/2013,Diatom,
Pseudo-nitzschia spp.,P,HMH,4/4/2013,Diatom,
Skeletonema spp.,P,HMH,4/4/2013,Diatom,
Chaetoceros spp.,P,HMH,4/19/2013,Diatom,
Fragilariopsis spp.,P,HMH,4/19/2013,Diatom,
Nitzschia morphotype,P,HMH,4/19/2013,Diatom,
Pseudo-nitzschia spp.,P,HMH,4/19/2013,Diatom,
Skeletonema spp.,P,HMH,4/19/2013,Diatom,
Alexandrium spp.,P,HMH,5/30/2013,Dinoflagellate,
Chaetoceros spp.,P,HMH,5/30/2013,Diatom,
Coscinodiscus spp.,P,HMH,5/30/2013,Diatom,
Dinophysis spp.,P,HMH,5/30/2013,Dinoflagellate,
Entomoneis spp.,P,HMH,5/30/2013,Diatom,
Navicula morphotype,P,HMH,5/30/2013,Diatom,
Odontella spp.,P,HMH,5/30/2013,Diatom,
Pleurosigma morphotype,P,HMH,5/30/2013,Diatom,
Protoperidinium spp.,P,HMH,5/30/2013,Dinoflagellate,
Pseudo-nitzschia spp.,P,HMH,5/30/2013,Diatom,
Rhizosolenia spp.,P,HMH,5/30/2013,Diatom,
Scrippsiella,P,HMH,5/30/2013,Dinoflagellate,
Stephanopyxis spp.,P,HMH,5/30/2013,Diatom,
Thalassionema spp.,P,HMH,5/30/2013,Diatom,
Thalassiosira spp.,P,HMH,5/30/2013,Diatom,
Ceratium furca morphotype,P,HMH,6/4/2013,Dinoflagellate,
Chaetoceros spp.,A,HMH,6/4/2013,Diatom,
Coscinodiscus spp.,P,HMH,6/4/2013,Diatom,
Fragilariopsis spp.,P,HMH,6/4/2013,Diatom,
Protoperidinium spp.,P,HMH,6/4/2013,Dinoflagellate,
Pseudo-nitzschia spp.,P,HMH,6/4/2013,Diatom,
Thalassiosira spp.,P,HMH,6/4/2013,Diatom,
Ceratium longipes morphotype,P,HMH,7/31/2013,Dinoflagellate,
Chaetoceros spp.,P,HMH,7/31/2013,Diatom,
Coscinodiscus spp.,P,HMH,7/31/2013,Diatom,
Dinophysis spp.,P,HMH,7/31/2013,Dinoflagellate,
Ditylum spp.,P,HMH,7/31/2013,Diatom,
Fragilariopsis spp.,P,HMH,7/31/2013,Diatom,
Licmophora spp.,P,HMH,7/31/2013,Diatom,
Melosira spp.,P,HMH,7/31/2013,Diatom,
Protoperidinium spp.,P,HMH,7/31/2013,Dinoflagellate,
Pseudo-nitzschia spp.,P,HMH,7/31/2013,Diatom,
Thalassiosira spp.,P,HMH,7/31/2013,Diatom,
Ceratium fusus morphotype,P,SVB,8/13/2013,Dinoflagellate,
Ceratium longipes morphotype,P,SVB,8/13/2013,Dinoflagellate,
Chaetoceros spp.,P,SVB,8/13/2013,Diatom,
Leptocylindrus spp.,P,SVB,8/13/2013,Diatom,
Licmophora spp.,P,SVB,8/13/2013,Diatom,
Nitzschia morphotype,P,SVB,8/13/2013,Diatom,
Pleurosigma morphotype,P,SVB,8/13/2013,Diatom,
Protoperidinium spp.,P,SVB,8/13/2013,Dinoflagellate,
Pseudo-nitzschia spp.,P,SVB,8/13/2013,Diatom,
Stephanopyxis spp.,P,SVB,8/13/2013,Diatom,
Thalassionema spp.,P,SVB,8/13/2013,Diatom,
Thalassiosira spp.,P,SVB,8/13/2013,Diatom,
Ceratium furca morphotype,P,HMH,8/14/2013,Dinoflagellate,
Ceratium longipes morphotype,P,HMH,8/14/2013,Dinoflagellate,
Dinophysis spp.,P,HMH,8/14/2013,Dinoflagellate,
Pseudo-nitzschia spp.,P,HMH,8/14/2013,Diatom,
Thalassiosira spp.,P,HMH,8/14/2013,Diatom,
Ceratium furca morphotype,P,HMH,9/18/2013,Dinoflagellate,
Ceratium fusus morphotype,P,HMH,9/18/2013,Dinoflagellate,
Ceratium longipes morphotype,P,HMH,9/18/2013,Dinoflagellate,
Chaetoceros spp.,P,HMH,9/18/2013,Diatom,
Coscinodiscus spp.,P,HMH,9/18/2013,Diatom,
Dictyocha spp. (Chromophyte),P,HMH,9/18/2013,Silicoflagellate,
Dinophysis spp.,P,HMH,9/18/2013,Dinoflagellate,
Licmophora spp.,P,HMH,9/18/2013,Diatom,
Melosira spp.,P,HMH,9/18/2013,Diatom,
Pleurosigma morphotype,P,HMH,9/18/2013,Diatom,
Protoperidinium spp.,P,HMH,9/18/2013,Dinoflagellate,
Pseudo-nitzschia spp.,P,HMH,9/18/2013,Diatom,
Rhizosolenia spp.,P,HMH,9/18/2013,Diatom,
Thalassionema spp.,P,HMH,9/18/2013,Diatom,
Thalassiosira spp.,P,HMH,9/18/2013,Diatom,
Ceratium furca morphotype,P,HMH,10/1/2013,Dinoflagellate,
Ceratium fusus morphotype,P,HMH,10/1/2013,Dinoflagellate,
Ceratium longipes morphotype,P,HMH,10/1/2013,Dinoflagellate,
Chaetoceros spp.,P,HMH,10/1/2013,Diatom,
Coscinodiscus spp.,P,HMH,10/1/2013,Diatom,
Dictyocha spp. (Chromophyte),P,HMH,10/1/2013,Silicoflagellate,
Dinophysis spp.,P,HMH,10/1/2013,Dinoflagellate,
Ditylum spp.,P,HMH,10/1/2013,Diatom,
Gyrodinium,P,HMH,10/1/2013,Dinoflagellate,
Navicula morphotype,P,HMH,10/1/2013,Diatom,
Pleurosigma morphotype,P,HMH,10/1/2013,Diatom,
Protoperidinium spp.,P,HMH,10/1/2013,Dinoflagellate,
Pseudo-nitzschia spp.,P,HMH,10/1/2013,Diatom,
Rhizosolenia spp.,P,HMH,10/1/2013,Diatom,
Scrippsiella,P,HMH,10/1/2013,Dinoflagellate,
Skeletonema spp.,P,HMH,10/1/2013,Diatom,
Thalassionema spp.,P,HMH,10/1/2013,Diatom,
Thalassiosira spp.,P,HMH,10/1/2013,Diatom,
Ceratium furca morphotype,P,SVB,10/2/2013,Dinoflagellate,
Ceratium longipes morphotype,P,SVB,10/2/2013,Dinoflagellate,
Chaetoceros spp.,P,SVB,10/2/2013,Diatom,
