"","Site.ID","NS","Bay","Date","Month","Year","Day.of.Yr","effort","Alexandrium spp.","Cerataulina spp.","Ceratium furca morphotype","Ceratium longipes morphotype","Chaetoceros spp.","Coscinodiscus spp.","Dictyocha spp. (Chromophyte)","Dinophysis spp.","Ditylum spp.","Entomoneis spp.","Eucampia spp.","Fragilariopsis spp.","Guinardia spp.","Heterocapsa spp.","Lauderia spp.","Leptocylindrus spp.","Licmophora spp.","Melosira spp.","Navicula morphotype","Nitzschia morphotype","Odontella spp.","Pleurosigma morphotype","Protoperidinium spp.","Pseudo-nitzschia spp.","Rhizosolenia spp.","Scrippsiella","Skeletonema spp.","Stephanopyxis spp.","Striatella","Thalassionema spp.","Thalassiosira spp."
"15","EPE","S","EP",2022-06-16,"Jun","2022",167,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
"16","EPW","S","EP",2024-08-09,"Aug","2024",222,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1
"17","EPY","S","EP",2013-07-08,"Jul","2013",189,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18","HMH","N","HOM",2013-05-30,"May","2013",150,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1
"19","HMH","N","HOM",2014-08-14,"Aug","2014",226,2,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
"20","HMH","N","HOM",2014-09-10,"Sep","2014",253,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
"21","HMH","N","HOM",2015-09-10,"Sep","2015",253,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1
"22","HMH","N","HOM",2015-09-24,"Sep","2015",267,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1
"23","HMH","N","HOM",2016-07-06,"Jul","2016",188,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
"24","HMH","N","HOM",2016-07-27,"Jul","2016",209,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1
"25","HMH","N","HOM",2016-08-02,"Aug","2016",215,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"26","HMH","N","HOM",2016-08-23,"Aug","2016",236,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"27","HMH","N","HOM",2016-08-26,"Aug","2016",239,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
"28","HMH","N","HOM",2016-08-31,"Aug","2016",244,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1
"29","HMH","N","HOM",2016-09-19,"Sep","2016",263,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1
"30","HMH","N","HOM",2016-09-22,"Sep","2016",266,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
"31","HMH","N","HOM",2017-06-27,"Jun","2017",178,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
"32","HMH","N","HOM",2017-07-19,"Jul","2017",200,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0
"33","HMH","N","HOM",2017-08-07,"Aug","2017",219,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0
"34","HMH","N","HOM",2018-05-24,"May","2018",144,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
"35","HMH","N","HOM",2019-05-20,"May","2019",140,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1
"36","HMH","N","HOM",2019-06-19,"Jun","2019",170,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
"37","HMH","N","HOM",2019-08-07,"Aug","2019",219,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1
"38","HMH","N","HOM",2019-08-14,"Aug","2019",226,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0
"39","HMH","N","HOM",2019-08-22,"Aug","2019",234,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0
"40","HMH","N","HOM",2019-08-28,"Aug","2019",240,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"41","HMH","N","HOM",2019-09-04,"Sep","2019",247,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0
"42","HMH","N","HOM",2019-09-19,"Sep","2019",262,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
"43","HMH","N","HOM",2019-09-26,"Sep","2019",269,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1
"44","HMH","N","HOM",2020-05-28,"May","2020",149,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
"45","HMH","N","HOM",2020-06-10,"Jun","2020",162,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1
"46","HMH","N","HOM",2020-07-09,"Jul","2020",191,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1
"47","HMH","N","HOM",2023-04-26,"Apr","2023",116,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1
"48","HMH","N","HOM",2024-05-21,"May","2024",142,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1
"49","HMH","N","HOM",2024-05-29,"May","2024",150,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1
"50","HMH","N","HOM",2024-07-24,"Jul","2024",206,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1
"51","HMH","N","HOM",2024-07-26,"Jul","2024",208,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"52","HMH","N","HOM",2024-08-07,"Aug","2024",220,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
"53","HMH","N","HOM",2024-08-21,"Aug","2024",234,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1
"54","HMH","N","HOM",2024-09-23,"Sep","2024",267,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1
"55","HMS","N","HOM",2014-09-03,"Sep","2014",246,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1
"56","HMS","N","HOM",2015-09-21,"Sep","2015",264,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1
"57","HMS","N","HOM",2016-07-22,"Jul","2016",204,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1
"58","HMS","N","HOM",2016-08-17,"Aug","2016",230,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
"59","JBB","S","JAK",2014-09-15,"Sep","2014",258,2,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1
"60","JBB","S","JAK",2019-07-02,"Jul","2019",183,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1
"61","JBB","S","JAK",2020-05-13,"May","2020",134,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1
"62","JBB","S","JAK",2023-05-23,"May","2023",143,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"63","JBD","S","JAK",2013-06-17,"Jun","2013",168,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
"64","JBD","S","JAK",2013-07-01,"Jul","2013",182,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"65","JBD","S","JAK",2016-05-17,"May","2016",138,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1
"66","JBD","S","JAK",2016-06-01,"Jun","2016",153,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1
"67","JBD","S","JAK",2020-06-03,"Jun","2020",155,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1
"68","JBD","S","JAK",2024-05-21,"May","2024",142,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
"69","JBD","S","JAK",2024-05-27,"May","2024",148,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"70","JBD","S","JAK",2024-06-04,"Jun","2024",156,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1
"71","JBR","S","JAK",2013-07-09,"Jul","2013",190,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
"72","JBR","S","JAK",2014-06-17,"Jun","2014",168,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1
"73","JBR","S","JAK",2014-07-15,"Jul","2014",196,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"74","JBR","S","JAK",2016-05-29,"May","2016",150,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1
"75","JBR","S","JAK",2016-07-03,"Jul","2016",185,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
"76","JBR","S","JAK",2016-07-11,"Jul","2016",193,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
"77","JBR","S","JAK",2016-08-15,"Aug","2016",228,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
"78","JBR","S","JAK",2016-08-26,"Aug","2016",239,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1
"79","JBR","S","JAK",2016-08-30,"Aug","2016",243,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1
"80","JBR","S","JAK",2016-09-19,"Sep","2016",263,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1
"81","JBR","S","JAK",2017-06-15,"Jun","2017",166,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1
"82","JBR","S","JAK",2017-06-22,"Jun","2017",173,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1
"83","JBR","S","JAK",2017-06-28,"Jun","2017",179,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1
"84","JBR","S","JAK",2017-07-04,"Jul","2017",185,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1
"85","JBR","S","JAK",2017-07-05,"Jul","2017",186,2,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"86","JBR","S","JAK",2017-07-13,"Jul","2017",194,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
"87","JBR","S","JAK",2017-07-14,"Jul","2017",195,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1
"88","JBR","S","JAK",2017-07-15,"Jul","2017",196,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1
"89","JBR","S","JAK",2017-07-17,"Jul","2017",198,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1
"90","JBR","S","JAK",2017-07-23,"Jul","2017",204,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
"91","JBR","S","JAK",2017-07-25,"Jul","2017",206,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1
"92","JBR","S","JAK",2017-07-29,"Jul","2017",210,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1
"93","JBR","S","JAK",2017-08-03,"Aug","2017",215,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"94","JBR","S","JAK",2017-08-07,"Aug","2017",219,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1
"95","JBR","S","JAK",2017-08-12,"Aug","2017",224,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1
"96","JBR","S","JAK",2018-07-12,"Jul","2018",193,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1
"97","JBR","S","JAK",2018-07-15,"Jul","2018",196,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1
"98","JBR","S","JAK",2018-07-23,"Jul","2018",204,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1
"99","JBR","S","JAK",2019-05-19,"May","2019",139,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1
"100","JBR","S","JAK",2019-07-15,"Jul","2019",196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"101","JBR","S","JAK",2019-07-28,"Jul","2019",209,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1
"102","JBR","S","JAK",2019-08-12,"Aug","2019",224,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1
"103","JBR","S","JAK",2019-08-28,"Aug","2019",240,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
"104","JBR","S","JAK",2020-06-14,"Jun","2020",166,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1
"105","JBR","S","JAK",2020-07-07,"Jul","2020",189,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
"106","KBL","S","KAS",2014-06-13,"Jun","2014",164,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1
"107","KBL","S","KAS",2016-08-26,"Aug","2016",239,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1
"108","KBL","S","KAS",2017-07-27,"Jul","2017",208,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"109","KBL","S","KAS",2018-06-08,"Jun","2018",159,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1
"110","KBL","S","KAS",2019-09-19,"Sep","2019",262,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1
"111","KBL","S","KAS",2020-05-13,"May","2020",134,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1
"112","KBL","S","KAS",2020-06-03,"Jun","2020",155,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1
"113","KBL","S","KAS",2020-07-07,"Jul","2020",189,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
"114","KBL","S","KAS",2022-05-30,"May","2022",150,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1
"115","KBL","S","KAS",2022-06-09,"Jun","2022",160,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1
"116","KBL","S","KAS",2022-07-05,"Jul","2022",186,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
"117","KBL","S","KAS",2024-05-14,"May","2024",135,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"118","KBL","S","KAS",2024-05-21,"May","2024",142,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
"119","SVB","S","SEL",2013-04-02,"Apr","2013",92,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1
"120","SVB","S","SEL",2017-09-21,"Sep","2017",264,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1
"121","SVB","S","SEL",2018-04-26,"Apr","2018",116,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1
"122","SVB","S","SEL",2018-05-11,"May","2018",131,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1
"123","SVB","S","SEL",2018-06-08,"Jun","2018",159,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1
"124","SVB","S","SEL",2018-07-19,"Jul","2018",200,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
"125","SVB","S","SEL",2018-09-20,"Sep","2018",263,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1
"126","SVB","S","SEL",2018-09-27,"Sep","2018",270,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1
"127","SVB","S","SEL",2019-09-12,"Sep","2019",255,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1
"128","SVB","S","SEL",2021-04-29,"Apr","2021",119,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1
"129","SVB","S","SEL",2021-05-20,"May","2021",140,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1
"130","SVB","S","SEL",2021-08-05,"Aug","2021",217,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
"131","SVB","S","SEL",2021-08-06,"Aug","2021",218,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1
"132","SVB","S","SEL",2022-05-30,"May","2022",150,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
"133","SVH","S","SEL",2016-08-26,"Aug","2016",239,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"134","SVH","S","SEL",2019-08-15,"Aug","2019",227,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
"135","SVH","S","SEL",2020-06-19,"Jun","2020",171,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1
"136","SVH","S","SEL",2020-07-03,"Jul","2020",185,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"137","SVS","S","SEL",2016-08-17,"Aug","2016",230,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1
"138","SVS","S","SEL",2016-09-27,"Sep","2016",271,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
"139","SVS","S","SEL",2017-07-13,"Jul","2017",194,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0
"140","EPW","S","EP",2024-05-29,"May","2024",150,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1
"141","HMH","N","HOM",2024-06-19,"Jun","2024",171,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1
